Date,Open,High,Low,Close,Adj Close,Volume
2023-02-18,86.919998,86.919998,86.919998,86.919998,86.919998,0
2023-02-19,87.599998,87.599998,87.599998,87.599998,87.599998,0
2023-02-20,88.669998,88.669998,88.669998,88.669998,88.669998,0
2023-02-21,88.129997,88.129997,88.129997,88.129997,88.129997,0
2023-02-22,87.580002,87.580002,87.580002,87.580002,87.580002,0
2023-02-23,87.269997,87.269997,87.269997,87.269997,87.269997,0
2023-02-24,83.160004,83.160004,83.160004,83.160004,83.160004,0
2023-02-25,81.910004,81.910004,81.910004,81.910004,81.910004,0
2023-02-26,84.699997,84.699997,84.699997,84.699997,84.699997,0
2023-02-27,82.169998,82.169998,82.169998,82.169998,82.169998,0
2023-02-28,84.639999,84.639999,84.639999,84.639999,84.639999,0
2023-03-01,83.959999,83.959999,83.959999,83.959999,83.959999,0
2023-03-02,84.459999,84.459999,84.459999,84.459999,84.459999,0
2023-03-03,83.900002,83.900002,83.900002,83.900002,83.900002,0
2023-03-04,83.769997,83.769997,83.769997,83.769997,83.769997,0
2023-03-05,83.519997,83.519997,83.519997,83.519997,83.519997,0
2023-03-06,85.849998,85.849998,85.849998,85.849998,85.849998,0
2023-03-07,85.709999,85.709999,85.709999,85.709999,85.709999,0
2023-03-08,84.220001,84.220001,84.220001,84.220001,84.220001,0
2023-03-09,82.949997,82.949997,82.949997,82.949997,82.949997,0
2023-03-10,82.730003,82.730003,82.730003,82.730003,82.730003,0
2023-03-11,79.669998,79.669998,79.669998,79.669998,79.669998,0
2023-03-12,81.720001,81.720001,81.720001,81.720001,81.720001,0
2023-03-13,82.849998,82.849998,82.849998,82.849998,82.849998,0
2023-03-14,81.519997,81.519997,81.519997,81.519997,81.519997,0
2023-03-15,80.639999,80.639999,80.639999,80.639999,80.639999,0
2023-03-16,81.540001,81.540001,81.540001,81.540001,81.540001,0
2023-03-17,80.269997,80.269997,80.269997,80.269997,80.269997,0
2023-03-18,80.040001,80.040001,80.040001,80.040001,80.040001,0
2023-03-19,79.989998,79.989998,79.989998,79.989998,79.989998,0
2023-03-20,79.680000,79.680000,79.680000,79.680000,79.680000,0
2023-03-21,74.580002,74.580002,74.580002,74.580002,74.580002,0
2023-03-22,72.330002,72.330002,72.330002,72.330002,72.330002,0
2023-03-23,71.139999,71.139999,71.139999,71.139999,71.139999,0
2023-03-24,69.430000,69.430000,69.430000,69.430000,69.430000,0
2023-03-25,70.680000,70.680000,70.680000,70.680000,70.680000,0
2023-03-26,72.910004,72.910004,72.910004,72.910004,72.910004,0
2023-03-27,73.099998,73.099998,73.099998,73.099998,73.099998,0
2023-03-28,78.290001,78.290001,78.290001,78.290001,78.290001,0
2023-03-29,80.470001,80.470001,80.470001,80.470001,80.470001,0
2023-03-30,80.599998,80.599998,80.599998,80.599998,80.599998,0
2023-03-31,73.699997,73.699997,73.699997,73.699997,73.699997,0
2023-04-01,75.959999,75.959999,75.959999,75.959999,75.959999,0
2023-04-02,72.449997,72.449997,72.449997,72.449997,72.449997,0
2023-04-03,78.339996,78.339996,78.339996,78.339996,78.339996,0
2023-04-04,72.790001,72.790001,72.790001,72.790001,72.790001,0
2023-04-05,70.339996,70.339996,70.339996,70.339996,70.339996,0
2023-04-06,69.750000,69.750000,69.750000,69.750000,69.750000,0
2023-04-07,68.730003,68.730003,68.730003,68.730003,68.730003,0
2023-04-08,69.849998,69.849998,69.849998,69.849998,69.849998,0
2023-04-09,70.269997,70.269997,70.269997,70.269997,70.269997,0
2023-04-10,69.900002,69.900002,69.900002,69.900002,69.900002,0
2023-04-11,71.269997,71.269997,71.269997,71.269997,71.269997,0
2023-04-12,68.610001,68.610001,68.610001,68.610001,68.610001,0
2023-04-13,73.550003,73.550003,73.550003,73.550003,73.550003,0
2023-04-14,68.519997,68.519997,68.519997,68.519997,68.519997,0
2023-04-15,66.209999,66.209999,66.209999,66.209999,66.209999,0
2023-04-16,67.430000,67.430000,67.430000,67.430000,67.430000,0
2023-04-17,68.059998,68.059998,68.059998,68.059998,68.059998,0
2023-04-18,null,null,null,null,null,null
2023-04-19,null,null,null,null,null,null
2023-04-20,null,null,null,null,null,null
2023-04-21,null,null,null,null,null,null
2023-04-22,null,null,null,null,null,null
2023-04-23,62.230000,62.230000,62.230000,62.230000,62.230000,0
2023-04-24,62.529999,62.529999,62.529999,62.529999,62.529999,0
2023-04-25,62.009998,62.009998,62.009998,62.009998,62.009998,0
2023-04-26,62.560001,62.560001,62.560001,62.560001,62.560001,0
2023-04-27,64.089996,64.089996,64.089996,64.089996,64.089996,0
2023-04-28,62.320000,62.320000,62.320000,62.320000,62.320000,0
2023-04-29,61.500000,61.500000,61.500000,61.500000,61.500000,0
2023-04-30,63.439999,63.439999,63.439999,63.439999,63.439999,0
2023-05-01,64.820000,64.820000,64.820000,64.820000,64.820000,0
2023-05-02,66.750000,66.750000,66.750000,66.750000,66.750000,0
2023-05-03,68.120003,68.120003,68.120003,68.120003,68.120003,0
2023-05-04,65.680000,65.680000,65.680000,65.680000,65.680000,0
2023-05-05,65.120003,65.120003,65.120003,65.120003,65.120003,0
2023-05-06,65.459999,65.459999,65.459999,65.459999,65.459999,0
2023-05-07,65.419998,65.419998,65.419998,65.419998,65.419998,0
2023-05-08,65.870003,65.870003,65.870003,65.870003,65.870003,0
2023-05-09,59.360001,59.360001,59.360001,59.360001,59.360001,0
2023-05-10,56.169998,56.169998,56.169998,56.169998,56.169998,0
2023-05-11,58.060001,58.060001,58.060001,58.060001,58.060001,0
2023-05-12,57.340000,57.340000,57.340000,57.340000,57.340000,0
2023-05-13,58.939999,58.939999,58.939999,58.939999,58.939999,0
2023-05-14,59.360001,59.360001,59.360001,59.360001,59.360001,0
2023-05-15,60.730000,60.730000,60.730000,60.730000,60.730000,0
2023-05-16,62.560001,62.560001,62.560001,62.560001,62.560001,0
2023-05-17,60.650002,60.650002,60.650002,60.650002,60.650002,0
2023-05-18,59.580002,59.580002,59.580002,59.580002,59.580002,0
2023-05-19,60.240002,60.240002,60.240002,60.240002,60.240002,0
2023-05-20,59.720001,59.720001,59.720001,59.720001,59.720001,0
2023-05-21,59.230000,59.230000,59.230000,59.230000,59.230000,0
2023-05-22,59.770000,59.770000,59.770000,59.770000,59.770000,0
2023-05-23,60.139999,60.139999,60.139999,60.139999,60.139999,0
2023-05-24,60.740002,60.740002,60.740002,60.740002,60.740002,0
2023-05-25,62.299999,62.299999,62.299999,62.299999,62.299999,0
2023-05-26,61.340000,61.340000,61.340000,61.340000,61.340000,0
2023-05-27,65.019997,65.019997,65.019997,65.019997,65.019997,0
2023-05-28,64.989998,64.989998,64.989998,64.989998,64.989998,0
2023-05-29,59.880001,59.880001,59.880001,59.880001,59.880001,0
2023-05-30,59.770000,59.770000,59.770000,59.770000,59.770000,0
2023-05-31,60.290001,60.290001,60.290001,60.290001,60.290001,0
2023-06-01,60.110001,60.110001,60.110001,60.110001,60.110001,0
2023-06-02,62.099998,62.099998,62.099998,62.099998,62.099998,0
2023-06-03,62.240002,62.240002,62.240002,62.240002,62.240002,0
2023-06-04,62.029999,62.029999,62.029999,62.029999,62.029999,0
2023-06-05,62.009998,62.009998,62.009998,62.009998,62.009998,0
2023-06-06,61.639999,61.639999,61.639999,61.639999,61.639999,0
2023-06-07,61.259998,61.259998,61.259998,61.259998,61.259998,0
2023-06-08,60.779999,60.779999,60.779999,60.779999,60.779999,0
2023-06-09,60.869999,60.869999,60.869999,60.869999,60.869999,0
2023-06-10,60.099998,60.099998,60.099998,60.099998,60.099998,0
2023-06-11,60.180000,60.180000,60.180000,60.180000,60.180000,0
2023-06-12,60.700001,60.700001,60.700001,60.700001,60.700001,0
2023-06-13,62.130001,62.130001,62.130001,62.130001,62.130001,0
2023-06-14,59.200001,59.200001,59.200001,59.200001,59.200001,0
2023-06-15,58.980000,58.980000,58.980000,58.980000,58.980000,0
2023-06-16,59.290001,59.290001,59.290001,59.290001,59.290001,0
2023-06-17,58.259998,58.259998,58.259998,58.259998,58.259998,0
2023-06-18,57.849998,57.849998,57.849998,57.849998,57.849998,0
2023-06-19,56.720001,56.720001,56.720001,56.720001,56.720001,0
2023-06-20,57.250000,57.250000,57.250000,57.250000,57.250000,0
2023-06-21,56.430000,56.430000,56.430000,56.430000,56.430000,0
2023-06-22,54.369999,54.369999,54.369999,54.369999,54.369999,0
2023-06-23,54.599998,54.599998,54.599998,54.599998,54.599998,0
2023-06-24,53.160000,53.160000,53.160000,53.160000,53.160000,0
2023-06-25,53.590000,53.590000,53.590000,53.590000,53.590000,0
2023-06-26,53.250000,53.250000,53.250000,53.250000,53.250000,0
2023-06-27,49.349998,49.349998,49.349998,49.349998,49.349998,0
2023-06-28,48.680000,48.680000,48.680000,48.680000,48.680000,0
2023-06-29,48.730000,48.730000,48.730000,48.730000,48.730000,0
2023-06-30,48.990002,48.990002,48.990002,48.990002,48.990002,0
2023-07-01,45.580002,45.580002,45.580002,45.580002,45.580002,0
2023-07-02,42.790001,42.790001,42.790001,42.790001,42.790001,0
2023-07-03,43.130001,43.130001,43.130001,43.130001,43.130001,0
2023-07-04,43.689999,43.689999,43.689999,43.689999,43.689999,0
2023-07-05,44.009998,44.009998,44.009998,44.009998,44.009998,0
2023-07-06,46.900002,46.900002,46.900002,46.900002,46.900002,0
2023-07-07,46.610001,46.610001,46.610001,46.610001,46.610001,0
2023-07-08,46.869999,46.869999,46.869999,46.869999,46.869999,0
2023-07-09,46.869999,46.869999,46.869999,46.869999,46.869999,0
2023-07-10,48.599998,48.599998,48.599998,48.599998,48.599998,0
2023-07-11,48.410000,48.410000,48.410000,48.410000,48.410000,0
2023-07-12,47.650002,47.650002,47.650002,47.650002,47.650002,0
2023-07-13,47.060001,47.060001,47.060001,47.060001,47.060001,0
2023-07-14,46.990002,46.990002,46.990002,46.990002,46.990002,0
2023-07-15,47.180000,47.180000,47.180000,47.180000,47.180000,0
2023-07-16,46.900002,46.900002,46.900002,46.900002,46.900002,0
2023-07-17,46.459999,46.459999,46.459999,46.459999,46.459999,0
2023-07-18,46.689999,46.689999,46.689999,46.689999,46.689999,0
2023-07-19,46.959999,46.959999,46.959999,46.959999,46.959999,0
2023-07-20,46.799999,46.799999,46.799999,46.799999,46.799999,0
2023-07-21,49.169998,49.169998,49.169998,49.169998,49.169998,0
2023-07-22,48.360001,48.360001,48.360001,48.360001,48.360001,0
2023-07-23,45.720001,45.720001,45.720001,45.720001,45.720001,0
2023-07-24,47.000000,47.000000,47.000000,47.000000,47.000000,0
2023-07-25,44.660000,44.660000,44.660000,44.660000,44.660000,0
2023-07-26,45.200001,45.200001,45.200001,45.200001,45.200001,0
2023-07-27,45.080002,45.080002,45.080002,45.080002,45.080002,0
2023-07-28,44.820000,44.820000,44.820000,44.820000,44.820000,0
2023-07-29,44.279999,44.279999,44.279999,44.279999,44.279999,0
2023-07-30,44.480000,44.480000,44.480000,44.480000,44.480000,0
2023-07-31,44.169998,44.169998,44.169998,44.169998,44.169998,0
2023-08-01,43.369999,43.369999,43.369999,43.369999,43.369999,0
2023-08-02,43.740002,43.740002,43.740002,43.740002,43.740002,0
2023-08-03,44.369999,44.369999,44.369999,44.369999,44.369999,0
2023-08-04,43.470001,43.470001,43.470001,43.470001,43.470001,0
2023-08-05,43.099998,43.099998,43.099998,43.099998,43.099998,0
2023-08-06,44.549999,44.549999,44.549999,44.549999,44.549999,0
2023-08-07,43.520000,43.520000,43.520000,43.520000,43.520000,0
2023-08-08,43.250000,43.250000,43.250000,43.250000,43.250000,0
2023-08-09,43.529999,43.529999,43.529999,43.529999,43.529999,0
2023-08-10,44.189999,44.189999,44.189999,44.189999,44.189999,0
2023-08-11,45.049999,45.049999,45.049999,45.049999,45.049999,0
2023-08-12,44.040001,44.040001,44.040001,44.040001,44.040001,0
2023-08-13,44.009998,44.009998,44.009998,44.009998,44.009998,0
2023-08-14,44.400002,44.400002,44.400002,44.400002,44.400002,0
2023-08-15,44.520000,44.520000,44.520000,44.520000,44.520000,0
2023-08-16,43.590000,43.590000,43.590000,43.590000,43.590000,0
2023-08-17,42.889999,42.889999,42.889999,42.889999,42.889999,0
2023-08-18,41.660000,41.660000,41.660000,41.660000,41.660000,0
2023-08-19,43.240002,43.240002,43.240002,43.240002,43.240002,0
2023-08-20,39.709999,39.709999,39.709999,39.709999,39.709999,0
2023-08-21,39.799999,39.799999,39.799999,39.799999,39.799999,0
2023-08-22,38.840000,38.840000,38.840000,38.840000,38.840000,0
2023-08-23,39.299999,39.299999,39.299999,39.299999,39.299999,0
2023-08-24,39.389999,39.389999,39.389999,39.389999,39.389999,0
2023-08-25,40.360001,40.360001,40.360001,40.360001,40.360001,0
2023-08-26,41.860001,41.860001,41.860001,41.860001,41.860001,0
2023-08-27,41.389999,41.389999,41.389999,41.389999,41.389999,0
2023-08-28,41.240002,41.240002,41.240002,41.240002,41.240002,0
2023-08-29,42.130001,42.130001,42.130001,42.130001,42.130001,0
2023-08-30,43.110001,43.110001,43.110001,43.110001,43.110001,0
2023-08-31,43.189999,43.189999,43.189999,43.189999,43.189999,0
2023-09-01,42.270000,42.270000,42.270000,42.270000,42.270000,0
2023-09-02,43.330002,43.330002,43.330002,43.330002,43.330002,0
2023-09-03,41.939999,41.939999,41.939999,41.939999,41.939999,0
2023-09-04,48.610001,48.610001,48.610001,48.610001,48.610001,0
2023-09-05,41.730000,41.730000,41.730000,41.730000,41.730000,0
2023-09-06,41.740002,41.740002,41.740002,41.740002,41.740002,0
2023-09-07,42.700001,42.700001,42.700001,42.700001,42.700001,0
2023-09-08,48.820000,48.820000,48.820000,48.820000,48.820000,0
2023-09-09,48.970001,48.970001,48.970001,48.970001,48.970001,0
2023-09-10,48.619999,48.619999,48.619999,48.619999,48.619999,0
2023-09-11,47.610001,47.610001,47.610001,47.610001,47.610001,0
2023-09-12,47.750000,47.750000,47.750000,47.750000,47.750000,0
2023-09-13,39.619999,39.619999,39.619999,39.619999,39.619999,0
2023-09-14,44.730000,44.730000,44.730000,44.730000,44.730000,0
2023-09-15,39.520000,39.520000,39.520000,39.520000,39.520000,0
2023-09-16,39.730000,39.730000,39.730000,39.730000,39.730000,0
2023-09-17,40.169998,40.169998,40.169998,40.169998,40.169998,0
2023-09-18,45.910000,45.910000,45.910000,45.910000,45.910000,0
2023-09-19,46.049999,46.049999,46.049999,46.049999,46.049999,0
2023-09-20,47.480000,47.480000,47.480000,47.480000,47.480000,0
2023-09-21,46.180000,46.180000,46.180000,46.180000,46.180000,0
2023-09-22,46.160000,46.160000,46.160000,46.160000,46.160000,0
2023-09-23,46.299999,46.299999,46.299999,46.299999,46.299999,0
2023-09-24,46.160000,46.160000,46.160000,46.160000,46.160000,0
2023-09-25,46.340000,46.340000,46.340000,46.340000,46.340000,0
2023-09-26,46.459999,46.459999,46.459999,46.459999,46.459999,0
2023-09-27,46.439999,46.439999,46.439999,46.439999,46.439999,0
2023-09-28,46.880001,46.880001,46.880001,46.880001,46.880001,0
2023-09-29,46.169998,46.169998,46.169998,46.169998,46.169998,0
2023-09-30,47.549999,47.549999,47.549999,47.549999,47.549999,0
2023-10-01,48.660000,48.660000,48.660000,48.660000,48.660000,0
2023-10-02,47.880001,47.880001,47.880001,47.880001,47.880001,0
2023-10-03,46.970001,46.970001,46.970001,46.970001,46.970001,0
2023-10-04,48.970001,48.970001,48.970001,48.970001,48.970001,0
2023-10-05,47.689999,47.689999,47.689999,47.689999,47.689999,0
2023-10-06,46.730000,46.730000,46.730000,46.730000,46.730000,0
2023-10-07,48.580002,48.580002,48.580002,48.580002,48.580002,0
2023-10-08,48.090000,48.090000,48.090000,48.090000,48.090000,0
2023-10-09,47.990002,47.990002,47.990002,47.990002,47.990002,0
2023-10-10,48.380001,48.380001,48.380001,48.380001,48.380001,0
2023-10-11,47.520000,47.520000,47.520000,47.520000,47.520000,0
2023-10-12,46.869999,46.869999,46.869999,46.869999,46.869999,0
2023-10-13,47.910000,47.910000,47.910000,47.910000,47.910000,0
2023-10-14,47.560001,47.560001,47.560001,47.560001,47.560001,0
2023-10-15,47.070000,47.070000,47.070000,47.070000,47.070000,0
2023-10-16,48.130001,48.130001,48.130001,48.130001,48.130001,0
2023-10-17,46.400002,46.400002,46.400002,46.400002,46.400002,0
2023-10-18,47.450001,47.450001,47.450001,47.450001,47.450001,0
2023-10-19,48.580002,48.580002,48.580002,48.580002,48.580002,0
2023-10-20,47.779999,47.779999,47.779999,47.779999,47.779999,0
2023-10-21,47.639999,47.639999,47.639999,47.639999,47.639999,0
2023-10-22,48.380001,48.380001,48.380001,48.380001,48.380001,0
2023-10-23,47.299999,47.299999,47.299999,47.299999,47.299999,0
2023-10-24,47.610001,47.610001,47.610001,47.610001,47.610001,0
2023-10-25,47.299999,47.299999,47.299999,47.299999,47.299999,0
2023-10-26,47.299999,47.299999,47.299999,47.299999,47.299999,0
2023-10-27,47.299999,47.299999,47.299999,47.299999,47.299999,0
2023-10-28,47.299999,47.299999,47.299999,47.299999,47.299999,0
2023-10-29,47.299999,47.299999,47.299999,47.299999,47.299999,0
2023-10-30,47.299999,47.299999,47.299999,47.299999,47.299999,0
2023-10-31,47.299999,47.299999,47.299999,47.299999,47.299999,0
2023-11-01,null,null,null,null,null,null
